batch_size,epoch,average_memory_utilization,average_gpu_utilization,training_time,loss,accuracy
100,10,5.2297822208,20.4,12.784940481185913,0.06150175258517265,0.982699990272522
100,20,5.4843650048,19.95,25.439823389053345,0.06988929957151413,0.9840999841690063
100,30,5.726361736533334,20.466666666666665,37.4516921043396,0.07913104444742203,0.9836999773979187
100,40,5.9369940992000005,19.95,51.43391013145447,0.09159035235643387,0.9828000068664551
200,10,6.1925154816,22.2,7.575110197067261,0.06186284124851227,0.9805999994277954
200,20,6.400014540799999,23.25,15.288221597671509,0.0681985467672348,0.9811999797821045
200,30,6.629392930133335,24.1,22.6830792427063,0.09277340024709702,0.9760000109672546
200,40,6.6851331071999995,23.025,31.59251070022583,0.07098299264907837,0.9836999773979187
300,10,5.618731008,23.8,6.256272554397583,0.06430348753929138,0.9799000024795532
300,20,5.876456448,23.7,12.667362928390503,0.06424695998430252,0.9803000092506409
300,30,6.100228096,23.4,19.13043761253357,0.06912422180175781,0.9836999773979187
300,40,6.3285961728,23.725,25.349933385849,0.072158582508564,0.9832000136375427
400,10,6.557780377599999,26.3,5.166899681091309,0.06061691790819168,0.9807999730110168
400,20,6.820112384,27.25,10.190563440322876,0.06001368537545204,0.9824000000953674
400,30,7.0567911424,27.1,15.206601619720459,0.06668306887149811,0.9825000166893005
400,40,7.283206553599999,26.475,20.46774649620056,0.07071797549724579,0.9824000000953674
500,10,7.3506938879999995,25.8,4.492523431777954,0.06259338557720184,0.980400025844574
500,20,7.4811527168,28.3,9.253562450408936,0.05989408493041992,0.9812999963760376
500,30,7.572420471466667,27.6,13.80960988998413,0.0687142163515091,0.9822999835014343
500,40,7.8599916544,29.175,18.03473734855652,0.06698457896709442,0.9825999736785889
600,10,6.4358350848,27.9,4.409627676010132,0.06858023256063461,0.9793999791145325
600,20,6.5423482879999995,30.65,8.310136795043945,0.06226716935634613,0.9807000160217285
600,30,6.796849698133332,30.333333333333332,12.292171239852905,0.06273940950632095,0.9821000099182129
600,40,7.019071283200001,30.425,16.70423674583435,0.06866683065891266,0.9815999865531921
700,10,7.252696268799999,29.5,4.30374813079834,0.0664094090461731,0.9793999791145325
700,20,7.3108178944,28.15,8.56260871887207,0.0621613934636116,0.9811000227928162
700,30,7.357225779199999,28.9,12.726803064346313,0.06502500921487808,0.982200026512146
700,40,7.640078438399999,28.45,17.20730233192444,0.06699876487255096,0.982200026512146
800,10,7.899027046399999,29.4,3.526949644088745,0.07506807148456573,0.9768000245094299
800,20,8.122431897599999,32.35,7.124504089355469,0.06317109614610672,0.9793999791145325
800,30,8.359069149866666,32.8,10.470657587051392,0.06321258842945099,0.9811999797821045
800,40,8.5847896064,32.75,14.08807373046875,0.06702712923288345,0.9821000099182129
