batch_size,epoch,average_memory_utilization,average_gpu_utilization,training_time
490,40,11.539999999999996,25.53333333333333,53.545860290527344
490,40,11.742499999999998,30.4,71.09756374359131
500,40,10.32,32.6,16.271602392196655
500,40,10.15,35.8,30.74964189529419
500,40,10.346666666666666,42.06666666666667,46.01322793960571
500,40,10.4,32.8,62.85948443412781
510,40,11.1,29.8,18.412966012954712
510,40,11.24,34.55,35.37326645851135
510,40,11.386666666666668,31.266666666666666,52.56802558898926
510,40,11.585,34.325,70.00453042984009
520,40,11.220000000000002,28.1,18.10190725326538
520,40,11.64,27.7,34.84582543373108
520,40,11.46,31.0,51.44592833518982
520,40,11.37,33.3,70.07775378227234
530,40,11.22,34.5,18.07491183280945
530,40,11.23,26.55,34.73312282562256
530,40,11.133333333333333,27.633333333333333,51.38641881942749
530,40,11.3025,30.05,68.69205093383789
540,40,11.43,35.0,18.002065181732178
540,40,11.404999999999998,32.4,34.41642498970032
540,40,11.32,27.2,51.242685079574585
540,40,11.4225,29.725,69.55559086799622
550,40,10.95,30.7,17.905090808868408
550,40,11.239999999999998,31.85,34.03385400772095
550,40,11.233333333333333,34.3,51.29083752632141
550,40,11.345,31.75,67.6789493560791
560,40,11.13,35.7,17.71921682357788
560,40,11.25,30.0,34.18729829788208
560,40,11.090000000000002,32.4,50.34622001647949
560,40,10.9975,28.4,68.28708934783936
570,40,10.77,34.1,17.69111180305481
570,40,11.294999999999998,35.0,34.0536744594574
570,40,11.103333333333332,30.433333333333334,50.28140640258789
570,40,11.2475,32.8,66.93838477134705
580,40,11.18,32.9,17.65566396713257
580,40,11.145,30.85,33.731313943862915
580,40,11.303333333333333,27.83333333333333,50.75005841255188
580,40,11.085,33.65,67.99846720695496
590,40,10.99,32.7,17.751156330108643
590,40,11.025,31.05,33.45124292373657
590,40,11.113333333333332,31.866666666666667,49.97595143318176
590,40,11.1725,30.425,66.275151014328
600,40,10.65,35.3,17.246326446533203
600,40,11.009999999999998,28.5,33.211939096450806
600,40,10.99,34.7,49.3444230556488
600,40,11.0775,28.95,66.93750357627869
610,40,10.65,31.3,17.473578691482544
610,40,11.185,36.35,33.13656044006348
610,40,10.983333333333333,29.4,49.56716847419739
610,40,11.045000000000002,35.775,65.47884106636047
620,40,10.92,16.9,17.27894902229309
620,40,10.96,29.7,32.91066241264343
620,40,11.063333333333334,32.2,48.80922269821167
620,40,10.81,30.4,65.79296588897705
630,40,10.78,33.3,17.36331033706665
630,40,10.815,35.95,32.891700983047485
630,40,10.956666666666669,32.63333333333333,49.3365421295166
630,40,11.0925,31.4,65.26446032524109
640,40,10.88,40.0,17.092442274093628
640,40,11.32,36.25,32.82287263870239
640,40,10.683333333333334,19.466666666666665,48.52345824241638
640,40,10.845,27.45,64.66970586776733
650,40,10.9,31.0,17.859307050704956
650,40,10.625000000000002,31.5,32.76937794685364
650,40,10.773333333333332,35.46666666666667,48.68521738052368
650,40,10.5975,33.375,64.29177689552307
660,40,11.2,29.0,16.698370456695557
660,40,10.74,32.8,32.03232669830322
660,40,10.966666666666663,32.96666666666667,48.49698233604431
660,40,10.68,34.375,63.818811893463135
670,40,10.69,36.1,16.720216989517212
670,40,10.57,20.3,32.863720178604126
670,40,10.716666666666663,34.56666666666667,47.98949360847473
670,40,10.864999999999998,31.375,64.10198926925659
680,40,10.39,26.5,17.118765830993652
680,40,10.82,22.85,32.005675315856934
680,40,10.793333333333331,34.6,48.14758658409119
680,40,10.7325,30.175,63.57869625091553
690,40,10.31,28.1,16.742355346679688
690,40,10.414999999999996,34.05,32.579686641693115
690,40,10.873333333333331,29.73333333333333,47.97156524658203
690,40,10.855,34.225,63.81777000427246
700,40,10.58,30.6,16.811755657196045
700,40,10.71,29.5,31.842058897018436
700,40,10.636666666666668,33.43333333333333,47.24775242805481
700,40,10.58,33.0,62.83740401268005
710,40,10.33,24.8,16.728747129440308
710,40,10.455000000000002,31.95,32.27464556694031
710,40,10.566666666666665,34.166666666666664,47.44527935981751
710,40,10.6875,30.275,63.05779314041138
720,40,10.159999999999998,30.2,16.65405511856079
720,40,10.65,27.95,31.570446968078613
720,40,10.513333333333332,29.5,46.87737774848938
720,40,10.63,27.825,62.28386044502258
730,40,10.28,28.5,16.593218326568604
730,40,10.475,29.3,32.01200079917908
730,40,10.623333333333337,24.5,47.31092143058777
730,40,10.6,28.4,62.28068709373474
740,40,10.79,21.7,16.853556871414185
740,40,10.5,34.6,31.221818208694454
740,40,10.57666666666667,28.5,46.467710733413696
740,40,10.61,28.625,62.05666184425354
750,40,9.88,32.8,16.31651544570923
750,40,10.44,30.65,31.311516284942627
750,40,10.699999999999998,31.1,47.69822335243225
750,40,10.5175,32.525,62.0810649394989
760,40,10.18,35.4,16.58903670310974
760,40,10.36,26.8,30.98820924758911
760,40,10.536666666666669,29.83333333333333,46.1651074886322
760,40,10.5775,32.225,61.675169706344604
770,40,10.24,26.1,16.342507362365723
770,40,10.52,30.65,30.793206453323364
770,40,10.403333333333334,29.433333333333334,46.75934791564941
770,40,10.21,28.55,61.59924626350403
780,40,10.23,38.9,16.686091423034668
780,40,10.56,31.4,30.96409034729004
780,40,10.389999999999995,29.1,46.051374435424805
780,40,10.48,30.525,60.88384556770325
790,40,10.15,25.3,16.217933654785156
790,40,10.4,24.9,30.82400870323181
790,40,10.54,31.433333333333334,45.87866044044495
790,40,10.367499999999998,29.75,62.03223967552185
800,40,10.34,31.1,16.538943767547607
800,40,10.34,31.55,30.895172595977783
800,40,10.283333333333337,29.566666666666663,45.73401498794556
800,40,10.28,34.4,60.691431283950806
