batch_size,epoch,average_memory_utilization,average_gpu_utilization,training_time
100,40,24.26,21.8,11.198334693908691
100,40,24.195,21.65,20.863082885742188
100,40,20.666666666666664,22.566666666666663,29.29336905479431
100,40,18.7125,23.75,38.135183811187744
110,40,19.53,24.6,9.579917192459106
110,40,19.610000000000007,22.7,19.1748206615448
110,40,19.34333333333333,24.266666666666666,28.663026571273804
110,40,19.31,23.85,38.34158802032471
120,40,19.86,23.6,8.788691759109497
120,40,19.325000000000003,24.15,17.296512842178345
120,40,19.170000000000005,24.53333333333333,25.69957041740417
120,40,19.07,24.5,34.01697039604187
130,40,19.770000000000003,23.9,8.86829924583435
130,40,19.515,23.9,17.58301043510437
130,40,19.236666666666668,24.666666666666668,26.17336368560791
130,40,19.17,24.3,34.537317752838135
140,40,18.66,24.5,8.437537670135498
140,40,19.32,23.8,16.766735553741455
140,40,20.576666666666664,23.133333333333333,26.87526130676269
140,40,20.5425,21.975,36.68927597999573
150,40,20.39,23.6,7.983372926712036
150,40,20.19,25.55,15.76276922225952
150,40,18.30333333333333,25.23333333333333,21.797727823257446
150,40,18.405,25.225,29.19796776771545
160,40,18.68,27.0,6.852588891983032
160,40,18.305,26.25,14.522470235824583
160,40,20.133333333333333,26.433333333333334,21.11837720870972
160,40,18.852500000000003,25.375,29.142131328582764
170,40,18.88,23.0,7.647452116012573
170,40,19.15,23.95,15.04004430770874
170,40,19.52,24.966666666666665,22.5042142868042
170,40,19.4975,24.9,29.80877375602722
180,40,21.37,19.6,7.963274240493774
180,40,21.940000000000005,23.9,15.68871784210205
180,40,20.26333333333333,23.466666666666665,22.51880788803101
180,40,20.0325,22.85,30.2346453666687
190,40,20.43,23.6,8.07913875579834
190,40,19.585,26.0,14.558743715286257
190,40,20.57,23.83333333333333,22.22700309753418
190,40,19.285,25.55,28.45674133300781
200,40,18.56,25.6,6.472049951553345
200,40,18.665,27.15,12.660484075546265
200,40,18.956666666666663,25.83333333333333,19.622679948806763
200,40,18.675,27.2,25.414437294006348
210,40,19.520000000000003,25.2,6.914035797119141
210,40,18.995,25.85,13.473816394805908
210,40,19.18,25.8,20.143837928771973
210,40,18.9175,25.15,27.34483742713928
220,40,19.33,26.0,6.668708562850952
220,40,19.2,25.3,13.264954805374146
220,40,19.18,25.03333333333333,19.794914722442627
220,40,19.205,25.275,26.32741665840149
230,40,19.04,24.9,6.526625394821167
230,40,19.26,25.95,12.936230897903442
230,40,19.3,25.53333333333333,19.319238662719727
230,40,19.2925,25.9,25.530537128448486
240,40,18.35,28.2,5.991015195846558
240,40,19.26,26.35,11.979254722595217
240,40,18.473333333333336,28.5,17.519646167755127
240,40,18.675,26.4,23.764363288879395
250,40,18.53,25.6,5.966028690338135
250,40,18.55,27.05,11.558357238769531
250,40,18.67333333333333,27.766666666666666,17.350167989730835
250,40,18.5025,28.3,22.950964212417603
260,40,19.09,27.5,6.15950608253479
260,40,19.575,27.7,12.370655536651611
