batch_size,epoch,average_memory_utilization,average_gpu_utilization,training_time,loss,accuracy
100,10,2.097514304,40.0,31.46834921836853,0.90468430519104,0.6809999942779541
100,20,2.2652485760000003,39.75,63.20936155319214,0.8589549660682678,0.7163000106811523
100,30,2.4462205013333334,39.833333333333336,94.68932247161865,0.8390900492668152,0.7371000051498413
100,40,2.6354756960000003,40.2,125.77081775665283,0.9440560340881348,0.7371000051498413
200,10,1.3954221439999999,56.1,22.063747882843018,0.9305287003517151,0.6729000210762024
200,20,1.5879914239999997,56.2,41.31503391265869,0.8669505715370178,0.6998000144958496
200,30,1.7499035733333332,56.4,61.57882642745972,0.8285695314407349,0.7336000204086304
200,40,1.9061434400000001,56.775,82.1642804145813,0.8446474671363831,0.7232000231742859
300,10,1.597212224,59.0,19.892102241516113,0.9916686415672302,0.6491000056266785
300,20,1.738834528,59.35,38.64137625694275,0.8525899648666382,0.7064999938011169
300,30,1.8614999253333333,59.53333333333333,57.6513466835022,0.8623501658439636,0.7050999999046326
300,40,1.941176768,59.725,76.8647391796112,0.802926242351532,0.7303000092506409
400,10,2.04340352,73.7,15.417929410934448,1.0942374467849731,0.6111999750137329
400,20,2.15578272,72.25,30.483935594558716,0.9083796143531799,0.680400013923645
400,10,1.8742912,71.6,15.476587533950806,1.0779656171798706,0.6212999820709229
400,20,2.0215038720000003,72.5,30.475862741470337,0.9030062556266785,0.6808000206947327
400,30,2.112465002666667,72.06666666666666,45.484846115112305,0.8416145443916321,0.7074000239372253
400,40,2.214931968,72.175,60.54127287864685,0.8175199031829834,0.7167999744415283
500,10,2.321652544,76.0,14.652072668075562,1.127776026725769,0.6026999950408936
500,20,2.451624032,77.55,28.34972095489502,0.9309496283531189,0.6743999719619751
500,30,1.9141297066666665,77.5,42.70692229270935,0.8580694198608398,0.7019000053405762
500,40,2.028973824,77.15,56.686973571777344,0.826915442943573,0.7129999995231628
600,10,2.127508288,72.0,16.101706981658936,1.0642141103744507,0.6270999908447266
600,20,2.252055744,71.4,31.216185569763184,0.899218738079071,0.6844000220298767
600,30,2.3729556266666667,71.3,46.55919170379639,0.8934218883514404,0.692799985408783
600,40,2.4569016800000005,71.225,62.10263991355896,0.8298483490943909,0.7138000130653381
700,10,1.4253164160000003,73.0,16.62753200531006,1.1161158084869385,0.6040999889373779
700,20,1.5964044159999995,73.4,29.723304271697998,0.9499273300170898,0.6647999882698059
700,30,1.7632100480000001,73.96666666666667,44.45569562911987,0.88722825050354,0.6877999901771545
700,40,1.890487312,73.875,58.89836859703064,0.8576571345329285,0.6970000267028809
800,10,2.041479872,76.9,15.001644372940063,1.1817631721496582,0.5799000263214111
800,20,1.642556064,75.0,29.319920539855957,1.01524019241333,0.6414999961853027
800,30,1.8078518613333334,76.1,43.33228421211243,0.9161727428436279,0.6753000020980835
800,40,1.948202256,75.975,57.73445963859558,0.8251010775566101,0.7113000154495239
